Fecha,D1_TEMPERATURE,D2_TEMPERATURE,Q-PS_MGD,Q-influent_MGD,Q-TWAS_GPM,Q-HSW1_GPM,Q-HSW2_GPM,V-HSW-DIG2-yest_gal,H-HSW_ft,H-Dig1_FT,H-Dig2_FT,Biogas,Minutos_disponibles,Cobertura_porcentaje,Dia_completo,Tramo,Biogas_actual,Biogas_lag_1,Biogas_lag_2,Biogas_lag_3,Biogas_lag_7,Biogas_media_3d,Biogas_desv_3d,Biogas_media_7d,Biogas_desv_7d,Fecha_objetivo_D1,Biogas_D1,Fecha_objetivo_D3,Biogas_D3,Fecha_objetivo_D7,Biogas_D7,Fecha_objetivo_D15,Biogas_D15,Fecha_objetivo_D30,Biogas_D30
2023-01-19,96.0050486111111,95.87545833333334,11.181145833333334,5.607784722222222,8.98132638888889,4.488854166666666,4.445576388888889,12550.954743055558,4.523986111111111,6.566673611111112,4.598569444444444,161.7522819070139,1440,100.0,True,10,161.7522819070139,151.26455833965278,149.77737681854165,97.01577506554861,70.82207204816945,154.2647390217361,6.526898272788736,117.55247402812509,35.341224674480955,2023-01-20,148.7933527688889,2023-01-22,154.25964758194445,2023-01-26,171.7754768420139,2023-02-03,122.76998745522222,2023-02-18,85.05227802860902
2023-01-20,96.02360416666666,95.94660416666666,10.034506944444445,4.980194444444444,9.166069444444444,2.8695902777777778,2.7799375,6433.890715277778,5.079493055555556,6.415055555555556,4.4274305555555555,148.7933527688889,1440,100.0,True,10,148.7933527688889,161.7522819070139,151.26455833965278,149.77737681854165,95.73587550180557,153.93673100518518,6.8803227516987775,125.13211363770844,35.571254653889646,2023-01-21,157.34190209909724,2023-01-23,167.0309772717361,2023-01-27,142.0815475536389,2023-02-04,78.66295843862846,2023-02-19,83.3714606272979
2023-01-21,96.03065972222223,96.0117986111111,10.829409722222222,3.7796041666666667,8.6380625,1.9127291666666666,1.9155902777777776,4014.4983472222225,5.6403888888888885,6.424381944444445,4.454534722222222,157.34190209909724,1440,100.0,True,10,157.34190209909724,148.7933527688889,161.7522819070139,151.26455833965278,92.89164404155001,155.96251225833333,6.588664382963473,134.33929336021518,34.14796828939221,2023-01-22,154.25964758194445,2023-01-24,191.64682237729167,2023-01-28,77.53336022465417,2023-02-05,62.86445461278402,2023-02-20,63.88570468501736
2023-01-22,95.96022916666668,96.02435416666667,11.687631944444444,4.133493055555555,9.49542361111111,1.8879791666666668,1.916638888888889,2763.6280972222226,4.843034722222223,6.307548611111112,4.457340277777778,154.25964758194445,1440,100.0,True,10,154.25964758194445,157.34190209909724,148.7933527688889,161.7522819070139,74.42980652276319,153.46496748331018,4.329325727768603,145.74355636866966,21.96123791892711,2023-01-23,167.0309772717361,2023-01-25,184.04020955104167,2023-01-29,66.52426164737777,2023-02-06,75.34285404903889,2023-02-21,99.14081910150625
2023-01-23,96.07209027777778,95.92351388888888,12.60196527777778,3.7677916666666667,11.329444444444444,6.204923611111111,6.5995486111111115,2771.6238402777776,5.4300347222222225,6.431166666666666,4.614236111111111,167.0309772717361,1440,100.0,True,10,167.0309772717361,154.25964758194445,157.34190209909724,148.7933527688889,97.01577506554861,159.54417565092592,6.664399606051851,155.74572811241072,6.735841526624663,2023-01-24,191.64682237729167,2023-01-26,171.7754768420139,2023-01-30,78.87811402251181,2023-02-07,112.16303345500694,2023-02-22,160.12978204881944
2023-01-24,96.10081944444444,95.98831944444444,11.456583333333333,3.7435972222222222,12.143145833333334,8.797534722222222,8.738611111111112,9511.846041666668,5.182277777777777,6.7090625,4.962743055555555,191.64682237729167,1440,100.0,True,10,191.64682237729167,167.0309772717361,154.25964758194445,157.34190209909724,149.77737681854165,170.9791490769907,19.003716879792407,161.72707747794644,14.577728086888161,2023-01-25,184.04020955104167,2023-01-27,142.0815475536389,2023-01-31,113.70234312956251,2023-02-08,125.9413038377361,2023-02-23,176.67261511541665
2023-01-25,96.08474305555555,95.94472916666668,10.602506944444444,4.444881944444445,14.32973611111111,8.567854166666667,8.669979166666668,12611.299361111112,5.44125,6.593298611111111,4.838916666666667,184.04020955104167,1440,100.0,True,10,184.04020955104167,191.64682237729167,167.0309772717361,154.25964758194445,151.26455833965278,180.90600306668978,12.603665946068125,166.40931336528772,15.864053511585942,2023-01-26,171.7754768420139,2023-01-28,77.53336022465417,2023-02-01,132.65464369713195,2023-02-09,148.96966054715278,2023-02-24,150.2646608388889
2023-01-26,96.12968055555555,95.87260416666666,11.632194444444444,3.7650833333333336,12.79992361111111,9.453118055555555,9.567479166666667,12505.964694444445,5.257652777777778,6.487048611111112,4.588680555555555,171.7754768420139,1440,100.0,True,10,171.7754768420139,184.04020955104167,191.64682237729167,167.0309772717361,161.7522819070139,182.48750292344903,10.026253874160309,167.841198356002,15.825953731028566,2023-01-27,142.0815475536389,2023-01-29,66.52426164737777,2023-02-02,136.04994126805556,2023-02-10,165.57050312770832,2023-02-25,99.28528730170834
2023-01-27,96.14410416666668,95.93629166666668,10.581138888888889,3.6673541666666667,11.905041666666666,5.114826388888889,5.161006944444445,13668.072368055553,4.587395833333334,6.261979166666666,4.4393125,142.0815475536389,1440,100.0,True,10,142.0815475536389,171.7754768420139,184.04020955104167,191.64682237729167,148.7933527688889,165.96574464889815,21.57422235608641,166.8823690395377,17.306398534079545,2023-01-28,77.53336022465417,2023-01-30,78.87811402251181,2023-02-03,122.76998745522222,2023-02-11,131.52156345381945,2023-02-26,89.78475489644445
2023-01-28,95.94542361111111,95.96639583333332,10.53217361111111,3.472180555555555,11.64225,1.3109027777777778,1.300125,7328.326222222222,4.970097222222222,5.817111111111111,4.188465277777778,77.53336022465417,1440,100.0,True,10,77.53336022465417,142.0815475536389,171.7754768420139,184.04020955104167,157.34190209909724,130.4634615401023,48.1832862940404,155.48114877176013,38.252186610532824,2023-01-29,66.52426164737777,2023-01-31,113.70234312956251,2023-02-04,78.66295843862846,2023-02-12,117.72094485688889,2023-02-27,132.1117631027361
2023-01-29,96.02966666666667,96.0728125,10.584666666666667,3.4035347222222225,11.362631944444445,1.3111666666666666,1.3118541666666665,1880.722625,4.390027777777778,5.804590277777778,4.203694444444444,66.52426164737777,1440,100.0,True,10,66.52426164737777,77.53336022465417,142.0815475536389,171.7754768420139,154.25964758194445,95.37972314189027,40.817831463839575,142.94752220967916,50.976419092624965,2023-01-30,78.87811402251181,2023-02-01,132.65464369713195,2023-02-05,62.86445461278402,2023-02-13,113.19716304833334,2023-02-28,
