fecha_origen,fecha_objetivo,horizonte_dias,dataset,modelo,real_CFM,predicho_CFM,persistencia_CFM,error_CFM,error_absoluto_CFM,conjunto,media_7d_CFM,fuente
2022-11-07,2022-11-14,7,Estabilidad,Random Forest B,75.4,90.81094175002438,92.8,-15.410941750024378,15.410941750024378,Prueba,104.8,LABS diario
2022-11-08,2022-11-15,7,Estabilidad,Random Forest B,72.7,106.2995733472877,134.0,-33.5995733472877,33.5995733472877,Prueba,108.48571428571428,LABS diario
2022-11-09,2022-11-16,7,Estabilidad,Random Forest B,113.6,121.62875961177014,178.0,-8.028759611770141,8.028759611770141,Prueba,114.75714285714285,LABS diario
2022-11-10,2022-11-17,7,Estabilidad,Random Forest B,115.7,120.00541133533427,183.5,-4.30541133533427,4.30541133533427,Prueba,119.75714285714285,LABS diario
2022-11-11,2022-11-18,7,Estabilidad,Random Forest B,151.8,107.23924305249515,127.4,44.560756947504856,44.560756947504856,Prueba,117.8,LABS diario
2022-11-12,2022-11-19,7,Estabilidad,Random Forest B,95.3,83.6266811545568,93.4,11.673318845443191,11.673318845443191,Prueba,116.12857142857142,LABS diario
2022-11-13,2022-11-20,7,Estabilidad,Random Forest B,83.8,79.46484689826609,77.0,4.335153101733908,4.335153101733908,Prueba,126.58571428571429,LABS diario
2022-11-14,2022-11-21,7,Estabilidad,Random Forest B,98.8,76.19850274139951,75.4,22.60149725860049,22.60149725860049,Prueba,124.10000000000001,LABS diario
2022-11-15,2022-11-22,7,Estabilidad,Random Forest B,131.8,84.66965761620314,72.7,47.13034238379687,47.13034238379687,Prueba,115.34285714285714,LABS diario
2022-11-16,2022-11-23,7,Estabilidad,Random Forest B,142.7,118.31740372167522,113.6,24.38259627832477,24.38259627832477,Prueba,106.14285714285714,LABS diario
2022-11-17,2022-11-24,7,Estabilidad,Random Forest B,98.2,118.22868530162654,115.7,-20.02868530162654,20.02868530162654,Prueba,96.45714285714287,LABS diario
2022-11-18,2022-11-25,7,Estabilidad,Random Forest B,78.6,117.99395389412187,151.8,-39.39395389412188,39.39395389412188,Prueba,99.94285714285715,LABS diario
2022-11-19,2022-11-26,7,Estabilidad,Random Forest B,66.9,100.68804085187595,95.3,-33.78804085187595,33.78804085187595,Prueba,100.21428571428571,LABS diario
2022-11-20,2022-11-27,7,Estabilidad,Random Forest B,45.5,86.40244638466106,83.8,-40.90244638466106,40.90244638466106,Prueba,101.1857142857143,LABS diario
2022-11-21,2022-11-28,7,Estabilidad,Random Forest B,74.6,97.7982245826536,98.8,-23.19822458265361,23.19822458265361,Prueba,104.52857142857144,LABS diario
2022-11-22,2022-11-29,7,Estabilidad,Random Forest B,77.5,109.329573854367,131.8,-31.829573854367,31.829573854367,Prueba,112.97142857142856,LABS diario
2022-11-23,2022-11-30,7,Estabilidad,Random Forest B,50.9,113.50442138615355,142.7,-62.604421386153554,62.604421386153554,Prueba,117.12857142857142,LABS diario
2022-11-24,2022-12-01,7,Estabilidad,Random Forest B,67.1,108.28132508681792,98.2,-41.18132508681792,41.18132508681792,Prueba,114.62857142857145,LABS diario
